WARNING: This is a machine-readable file. Only change this if you know what you are doing!							
Category	Name	Type (accessories only)	Rotate (shoes only)	Team Colored	Primary Color	Secondary Color	New
beard	000none						
beard	001lilmoustache						
beard	002moustache						
beard	003curlyqmoustache						
beard	004thinmoustache						
beard	005fishtale						
beard	beard06						
beard	019cat-KR						
beard	beard05						
beard	goteewithoutmustache2						yes
beard	taylorbeard16						
beard	012korking						
beard	013dokaebi-KR-JP						
beard	007fiveoclock						
beard	008stubble						
beard	009mediumgoatee						
beard	010goatee						
beard	011chinstrapstuble						
beard	NBAcabeard						yes
beard	014stubble						
beard	015smallbeard						
beard	NBAljbeard						yes
beard	sundarbeard						
beard	newbeard						
beard	taylorbeard05						
beard	017mediumbeard						
beard	016trimmedbeard						
beard	beard04						
beard	beard08						
beard	beard10						
beard	beard03						
beard	beard02						
beard	NBAhbeard						yes
beard	beard09						
beard	018bigbeard						
body	000000none	chooser					
body	goldnecklace	body					
body	hawaiiLei	body					
body	slr	body					
body	001092scarf	body					
body	gujaratikerchief	body					yes
body	049greyscarf	body					
body	pinkscarf	body					
body	050scarf	body					
body	033pearls	body					
body	040shortnecklace	body					
body	039reddishnecklace	body					
body	041heartnecklace	body					
body	038shapesnecklace	body					
body	042medallion	body					
body	goldnecklace01	body					
body	candynecklacev3	body					
body	061waistbag-KR	body					
body	055babydroidgirl	body					
body	054babydroidboy	body					
face	000000none	chooser					
face	058pipe	mouth					
face	001freckles	face					
face	003scar	face					
face	beautymark	face					
face	004kiss	face					
face	002blush	face					
face	footballblackeyes	face					
face	cavemanbrowv5	head					
face	006bindi	face					
face	009bluetooth	face					
face	044gold	earring					
face	dogv2	head					
face	pigv4	head					
face	065mask	head					
face	001087rudolphnose	head					
glasses	000none						
glasses	010noglasses						
glasses	009redglasses						
glasses	008darkglasses						
glasses	001architect						
glasses	020monocle						
glasses	006aviators						
glasses	taylorglasses02						
glasses	002thomas						
glasses	007retrogirl						
glasses	016kimgu-KR-JP						
glasses	017rounded						
glasses	018squared						
glasses	clearround						
glasses	021frameless						
glasses	004thomas						
glasses	027elfglasses						
glasses	005GD						
glasses	taylorglasses09						
glasses	019goldenrounded						
glasses	013violetglasses						
glasses	000z02asunglasses						
glasses	012biggirlsunglasses						
glasses	014brownglasses						
glasses	003badass						
glasses	dogfunk						
glasses	011party						
glasses	015eyepatch						
glasses	024hipster						
glasses	googleglassv2						
glasses	023threed						
glasses	aviatorgoggles						
glasses	000z01078skigoggles						
glasses	taylorglasses04						
glasses	00017mardigrasmask-BR-IT-PT-FR-ES-IN-MX-CO-VE-PE-CL-AR-UY						
glasses	011scubasnorkel						
hair	0000none						
hair	001crew						
hair	006side						
hair	024doublepigtail						
hair	065baby						
hair	dreadlocks						yes
hair	038messy_medium						
hair	066baldshag						
hair	003messy						
hair	animelonghair						yes
hair	cornrows						yes
hair	008receding						
hair	028curlyshort						
hair	mohawk						
hair	004ducktail						
hair	005sideburns						
hair	twocoloredhair						yes
hair	020structuredbob						
hair	007gd						
hair	037emo						
hair	036emo						
hair	017pixie						
hair	0364sidepartbob						
hair	054fro						
hair	009side						
hair	029curly						
hair	031fromedium						
hair	032bigcurlyfro						
hair	033afro						
hair	afropuffs						
hair	0362retro						
hair	011flattop						
hair	049pompadour						
hair	013tuft						
hair	022emolonger						
hair	019mediumbob						
hair	0361fashion						
hair	0360middlepart						
hair	018girlfull_medium						
hair	0363sidepartmedium						
hair	0365straightbangs						
hair	035superbob						
hair	023ponytail_small						
hair	flamencohair						yes
hair	025sidebraid						
hair	026medievalplaits						
hair	hair						
hair	japanesekid						yes
hair	0360bang						
hair	053korqueen-KR						
hair	039longhair						
